' Request_From_IP ' ::ffff:192.168.1.104, ' Request_User ' -, ' Request_Date_Time ' 22-02-2020 12:10:33:946, ' Request_Type ' POST, ' Request_URL ' /Employee/getEmployee, ' HTTP_Version ' 1.1, ' Response_Code ' 200, ' Content_Length ' 380, ' Response_Time ' 1.530 ms,
' Request_From_IP ' ::ffff:192.168.1.104, ' Request_User ' -, ' Request_Date_Time ' 22-02-2020 12:10:34:69, ' Request_Type ' GET, ' Request_URL ' /Employee/p4IAh7.jpg, ' HTTP_Version ' 1.1, ' Response_Code ' 304, ' Content_Length ' -, ' Response_Time ' 0.428 ms,
' Request_From_IP ' ::ffff:192.168.1.104, ' Request_User ' -, ' Request_Date_Time ' 22-02-2020 12:11:02:243, ' Request_Type ' POST, ' Request_URL ' /Employee/employeeByPg, ' HTTP_Version ' 1.1, ' Response_Code ' 200, ' Content_Length ' -, ' Response_Time ' 3.427 ms,
' Request_From_IP ' ::ffff:192.168.1.104, ' Request_User ' -, ' Request_Date_Time ' 22-02-2020 12:11:04:910, ' Request_Type ' GET, ' Request_URL ' /User/wddUpq.jpeg, ' HTTP_Version ' 1.1, ' Response_Code ' 304, ' Content_Length ' -, ' Response_Time ' 0.394 ms,
' Request_From_IP ' ::ffff:192.168.1.104, ' Request_User ' -, ' Request_Date_Time ' 22-02-2020 12:11:05:34, ' Request_Type ' POST, ' Request_URL ' /Employee/employeeByPg, ' HTTP_Version ' 1.1, ' Response_Code ' 200, ' Content_Length ' -, ' Response_Time ' 1.404 ms,
' Request_From_IP ' ::ffff:192.168.1.104, ' Request_User ' -, ' Request_Date_Time ' 22-02-2020 12:11:06:983, ' Request_Type ' POST, ' Request_URL ' /Employee/getEmployee, ' HTTP_Version ' 1.1, ' Response_Code ' 200, ' Content_Length ' 383, ' Response_Time ' 1.319 ms,
' Request_From_IP ' ::ffff:192.168.1.104, ' Request_User ' -, ' Request_Date_Time ' 22-02-2020 12:11:07:23, ' Request_Type ' GET, ' Request_URL ' /Employee/yjYXXK.jpeg, ' HTTP_Version ' 1.1, ' Response_Code ' 304, ' Content_Length ' -, ' Response_Time ' 0.460 ms,
' Request_From_IP ' ::ffff:192.168.1.104, ' Request_User ' -, ' Request_Date_Time ' 22-02-2020 12:11:22:398, ' Request_Type ' POST, ' Request_URL ' /Employee/employeeByPg, ' HTTP_Version ' 1.1, ' Response_Code ' 200, ' Content_Length ' -, ' Response_Time ' 1.540 ms,
' Request_From_IP ' ::ffff:192.168.1.104, ' Request_User ' -, ' Request_Date_Time ' 22-02-2020 12:11:25:137, ' Request_Type ' POST, ' Request_URL ' /Employee/getEmployee, ' HTTP_Version ' 1.1, ' Response_Code ' 200, ' Content_Length ' 388, ' Response_Time ' 1.209 ms,
' Request_From_IP ' ::ffff:192.168.1.104, ' Request_User ' -, ' Request_Date_Time ' 22-02-2020 12:11:25:172, ' Request_Type ' GET, ' Request_URL ' /Employee/QslTNM.jpg, ' HTTP_Version ' 1.1, ' Response_Code ' 304, ' Content_Length ' -, ' Response_Time ' 0.573 ms,
' Request_From_IP ' ::ffff:192.168.1.104, ' Request_User ' -, ' Request_Date_Time ' 22-02-2020 12:16:34:873, ' Request_Type ' GET, ' Request_URL ' /User/wddUpq.jpeg, ' HTTP_Version ' 1.1, ' Response_Code ' 304, ' Content_Length ' -, ' Response_Time ' 0.412 ms,
' Request_From_IP ' ::ffff:192.168.1.104, ' Request_User ' -, ' Request_Date_Time ' 22-02-2020 12:16:35:18, ' Request_Type ' POST, ' Request_URL ' /Employee/getEmployee, ' HTTP_Version ' 1.1, ' Response_Code ' 200, ' Content_Length ' 388, ' Response_Time ' 1.441 ms,
' Request_From_IP ' ::ffff:192.168.1.104, ' Request_User ' -, ' Request_Date_Time ' 22-02-2020 12:16:35:93, ' Request_Type ' GET, ' Request_URL ' /Employee/QslTNM.jpg, ' HTTP_Version ' 1.1, ' Response_Code ' 304, ' Content_Length ' -, ' Response_Time ' 0.640 ms,
